"HostelName","City","StartingPrice","Distance","RatingScore","RatingBand","Atmosphere","Cleanliness","Facilities","Location","Security","Staff","ValueForMoney","lon","lat","Station","Dist_Station","lat_station","lng_station"
"Lyuro Tokyo Kiyosumi -The Share Hotels-","Tokyo",3200,9.1,9.4,"Superb",9.3,10,10,7.3,10,9.3,10,139.7920658,35.6812172,"Suitengumae",0.603823603953554,35.6825022,139.7855703
"montan HAKATA","Fukuoka-City",3000,2.4,9.4,"Superb",9.3,9.8,9.7,8.8,9.5,9.5,9.5,130.427977,33.588725,"Higashi-Hie",0.326242991525904,33.5897427,130.4312804
"Mosaic Hostel Kyoto","Kyoto",2500,3.7,9.6,"Superb",9.5,9.7,9.7,9.3,9.7,9.7,9.5,135.7552361,34.9803659,"Toji",0.241472645822943,34.9799452,135.7526359
"Music Uni Street Backpackers Hostel","Osaka",3000,6,8.9,"Fabulous",9,9,9,8,8,10,9,135.4673702,34.7519746,"Esaka",2.8095325949026,34.7586533,135.4970297
"MyCUBE by MYSTAYS Asakusa-Kuramae","Tokyo",3200,9.2,8.8,"Fabulous",8,9.5,9,8,9,9,9,139.7920033,35.7037857,"Tawaramachi",0.682505513732532,35.709842,139.7907747
"Nadeshiko Hotel Shibuya (Female Only)","Tokyo",5500,3.8,9.2,"Superb",8.7,9.7,9.7,8.7,9.7,9.3,8.7,139.692988,35.6550972,"Shibuya",0.848273231437849,35.65820823,139.7015607
"Nagomi-Ryokan Yuu","Kyoto",3100,2.2,5.1,"Rating",6,6,2,8,6,2,6,135.755793,34.99419,"Gojo",0.383362889098097,34.9954343,135.7597179
"Nihonbashi Muromachi BAY HOTEL","Tokyo",4000,7.6,9.2,"Superb",9,9.7,8.7,8.3,10,9.3,9.3,139.7756795,35.6872974,"Mitsukoshimae",0.453024310787591,35.6849915,139.7715442
"Norishico Auto Guesthouse","Fukuoka-City",2800,16.1,10,"Superb",10,10,10,10,10,10,10,130.528032,33.49096,"Fukuokakuko (Airport)",13.9401835628406,33.597226,130.4482244
"Nui. Hostel & Bar Lounge","Tokyo",2500,9.3,9.3,"Superb",9.5,9.6,9.4,8.6,9.3,9.6,9.4,139.7933951,35.7038859,"Tawaramachi",0.7032818659115,35.709842,139.7907747
"O-yado Sato","Kyoto",3900,2.3,9.1,"Superb",9,10,9,8,10,9,9,135.75571,34.994214,"Gojo",0.389485631194008,34.9954343,135.7597179
"Oak Hostel Zen","Tokyo",2200,8.8,9,"Superb",8.2,8.9,8.9,9.1,9.6,9.3,8.9,139.7809311,35.7219034,"Iriya",0.409899347414971,35.7215633,139.7854523
"Oak Hotel Edo","Tokyo",2200,9.7,7.6,"Very Good",4,10,8,8,8,8,7,139.798931,35.6879156,"Kiyosumi-shirakawa",0.652713864434402,35.6820467,139.7987913
"Oakhostel Cabin","Tokyo",2100,8.6,9,"Superb",8.1,9.5,9.1,8.4,9.4,9.2,9.2,139.7859882,35.678055,"Suitengumae",0.495944538526693,35.6825022,139.7855703
"Oakhostel Fuji","Tokyo",2000,10,9,"Superb",8.2,9.2,8.9,8.9,9.4,9.1,9.2,139.8009084,35.7069254,"Asakusa",0.517878141129623,35.71085336,139.7978265
"Oakhostel Sakura","Tokyo",1800,11.3,9.2,"Superb",8,10,9.3,9.3,9.7,9,9,139.8152216,35.70739,"Oshiage",0.404218515697065,35.7106447,139.8132275
"Obi Hostel","Tokyo",2000,8.2,9.1,"Superb",8.4,9.2,9,9,9.3,9.4,9.1,139.7819046,35.6920482,"Kodemmacho",0.318621695620123,35.6913621,139.7784791
"Okara Guesthouse","Kyoto",1900,2.4,9.4,"Superb",9.2,9.8,9.4,9.2,9.4,9.4,9.4,135.7550308,34.9925923,"Gojo",0.531186886652791,34.9954343,135.7597179
"OKI's Inn","Kyoto",2500,1.1,9.4,"Superb",8.8,9.6,9.2,10,8.8,10,9.2,135.7789591,35.0086338,"Hyotan-yama",1.07654351306282,35.0037565,135.7687486
"Omotenashi Hostel Miyajima","Hiroshima",2500,13.5,9.1,"Superb",8.8,9.7,9.5,7.9,9.2,9.5,9.3,132.319971,34.3369812,"Koiki-koen-mae",13.1927841832273,34.4354518,132.4001697
"Osaka Fuku Hostel Nagomi","Osaka",3000,4.4,9.3,"Superb",8.7,9.6,9,9.8,8.9,9.6,9.2,135.50642,34.667318,"Nippombashi",0.0476601080060579,34.6669677,135.5061197
"Osaka Fuku Hostel Namba","Osaka",3000,4.5,8.9,"Fabulous",8.5,9,8.3,9.7,8.8,9.6,8.4,135.5041027,34.6665276,"Nippombashi",0.19084557616008,34.6669677,135.5061197
"Osaka Guest House Midoriya","Osaka",2800,5.1,9.7,"Superb",9.7,10,9.6,9.4,9.7,10,9.7,135.5485836,34.6817305,"Midoribashi",0.331813832459398,34.6806633,135.5451948
"Osaka Guesthouse Hive","Osaka",2300,1.3,8.3,"Fabulous",7.6,8.6,8,8.5,8.6,8.5,8,135.489407,34.7021661,"Higashi-Ikoma Signal Station",0.204632534832316,34.7004523,135.4902226
"Osaka GuestHouse KOMA","Osaka",1500,4.4,8.3,"Fabulous",8,7.5,7.8,9.1,7.9,9.1,8.8,135.4895197,34.6687377,"Sakuragawa",0.119772300858586,34.6684262,135.488266
"Osaka Guesthouse Nest","Osaka",1500,6.7,8.5,"Fabulous",7.8,9,8.2,8.7,8.3,9.2,8,135.52325,34.6494472,"Tennoji",0.890421664110858,34.6473102,135.513869
"Osaka Guesthouse Sakura","Osaka",2500,0.9,8.8,"Fabulous",8.9,8.9,8.4,8.3,8.5,9.4,9.2,135.505511,34.69898,"Minami-morimachi",0.514568888971133,34.6975494,135.5108639
"Osaka Guesthouse SUN","Osaka",2300,4.3,9.1,"Superb",8.8,9,8.5,9.5,8.8,9.5,9.4,135.4918195,34.6693182,"Sakuragawa",0.339776133524041,34.6684262,135.488266
"Osaka Hana Hostel","Osaka",2600,3.7,9.5,"Superb",8.5,9.6,9.6,9.8,9.5,9.8,9.6,135.498216,34.6731483,"Yotsubashi",0.174874203090517,34.6741351,135.496727
"Osaka Hostel Kai","Osaka",2600,2.8,9.1,"Superb",8.9,9.1,8.9,8.6,8.9,9.7,9.7,135.4764591,34.6931733,"Nodahanshin",0.194241165140132,34.6942884,135.4748237
"Osaka International Youth Hostel","Osaka",2900,20.3,9.4,"Superb",10,10,10,6,10,10,10,135.433003,34.532974,"Nakamozu",7.12204762616745,34.5561152,135.5055107
"Osaka Namba Hostel MIYABI","Osaka",2000,5,8.9,"Fabulous",7.6,9.1,8.8,9.3,9,9.2,9.4,135.4967377,34.6620588,"Namba",0.517509737577915,34.6629331,135.5022953
"Oshiteruya","Osaka",2800,6.5,7.3,"Very Good",6.7,8,6.7,7.3,6.7,8,8,135.549222,34.663197,"Imazato",0.173420010145522,34.6646652,135.5498616
"Peace House Abeno","Osaka",1200,6.9,9,"Superb",9,9.1,9.1,8.2,9.1,9.1,9.3,135.5072578,34.6447906,"Abeno",0.49604471882559,34.642719,135.5120601
"Peace House Sachi","Osaka",1200,6.5,8.6,"Fabulous",8.8,8.2,7.9,8.9,8.4,9.2,8.8,135.5042885,34.6484984,"Dobutsuen-mae",0.0832061542142742,34.6489686,135.5035809
"Peace House Sakura","Kyoto",1300,1.8,6.3,"Good",6.8,5.8,5.3,6.5,6.3,6.8,7,135.773323,34.995831,"Hyotan-yama",0.974809827912933,35.0037565,135.7687486
"Peace House Showa","Osaka",1200,6.8,7.5,"Very Good",8,6.4,5.6,8,6.4,9.6,8.4,135.5065439,34.6457488,"Dobutsuen-mae",0.449051568840042,34.6489686,135.5035809
"Peace House Suzunami","Osaka",1200,6.4,8.2,"Fabulous",8.4,7.1,7.9,8.7,8,8.9,8.2,135.5122777,34.6493107,"Tennoji",0.265840275252837,34.6473102,135.513869
"Picnic Hostel Osaka","Osaka",2000,4.4,9.4,"Superb",8.6,9.8,9.4,9.5,9.5,9.5,9.6,135.487358,34.6692926,"Sakuragawa",0.127187783857447,34.6684262,135.488266
"Piece Hostel Kyoto","Kyoto",2700,3.2,9.7,"Superb",9.2,9.9,9.8,9.8,9.9,9.9,9.6,135.7621209,34.9836157,"Kyoto",0.400567257612102,34.9861885,135.7590433
"Piece Hostel Sanjo","Kyoto",2900,0.5,9.6,"Superb",9.1,9.8,9.7,9.6,9.8,9.9,9.6,135.764655,35.008028,"Karasuma Oike",0.508808744513403,35.009992,135.7596091
"Planetyze Hostel","Tokyo",2400,8.5,9.3,"Superb",8.6,9.5,9,9.3,9.6,9.6,9.3,139.786004,35.694492,"Kodemmacho",0.763491879035358,35.6913621,139.7784791
"Poly Hostel Osaka","Osaka",3800,5.9,9.4,"Superb",8,10,10,8,10,10,10,135.503676,34.65348176,"Ebisucho",0.237661025935796,34.6549385,135.5055773
"Prime Inn Shinsaibashi","Osaka",2600,3.3,9.2,"Superb",8.7,9.3,8.7,9.3,10,9.3,9.3,135.5074622,34.677238,"Nagahoribashi",0.325735512320237,34.6744602,135.5063311
"Qoo Ebisucho","Osaka",2000,5.5,5.7,"Rating",6,8,6,6,2,8,4,135.5053576,34.657003,"Ebisucho",0.230439792064225,34.6549385,135.5055773
"Quality Hostel K's House Tokyo Oasis","Tokyo",3000,9.6,9,"Superb",8.2,9.6,8.4,9.1,9.5,9.3,8.7,139.7935305,35.715796,"Asakusa",0.672676236062116,35.71085336,139.7978265
"R.Star Hostel Kyoto","Kyoto",2400,1.8,9.6,"Superb",8.7,10,9.7,9.3,9.8,9.9,9.8,135.758374,34.997989,"Gojo",0.309323396782152,34.9954343,135.7597179
"Retrometro Backpackers","Tokyo",3000,9.2,9.4,"Superb",9.4,9.4,9,9.4,9.5,9.8,9.6,139.7893615,35.7131573,"Tawaramachi",0.390100956335135,35.709842,139.7907747
"RokuRoku","Kyoto",2500,2.4,9.7,"Superb",10,10,10,9,10,9,10,135.7922873,35.02020078,"Hyotan-yama",2.81762830566238,35.0037565,135.7687486
"Roots Hostel","Osaka",3000,3.1,8,"Fabulous",7.8,7.9,7.6,7.5,8,9.1,8.1,135.4953584,34.67926055,"Hommachi",0.440435893628859,34.6820067,135.4988295
"RYOKANï¼†HOSTEL WASABI Nippori","Tokyo",2000,9.1,8.7,"Fabulous",8.2,8.6,8.9,8.5,8.8,8.9,8.9,139.777723,35.732782,"Nishi-nippori",0.949057190442507,35.7325993,139.767211
"Sakura Guest House","Osaka",2700,4.3,4.9,"Rating",4,4,4,8,4,6,4,135.504941916231,34.6684272684117,"Nippombashi",0.194787743862137,34.6669677,135.5061197
"Sakura Hostel Asakusa","Tokyo",2400,9.8,8.6,"Fabulous",7.7,8.6,8.4,8.9,9,9,8.7,139.7948263,35.7160224,"Asakusa",0.635399781154201,35.71085336,139.7978265
"Sakura Hotel Ikebukuro","Tokyo",2300,5.1,8.3,"Fabulous",7.3,8.2,7.9,9,7.8,9.1,8.8,139.7088026,35.7336139,"Ikebukuro",0.267572628816173,35.7312289,139.7084087
"Sakura Hotel Nippori","Tokyo",1900,7.8,9.1,"Superb",8.6,9.4,8.9,9.1,9.7,9.4,8.6,139.764175,35.7281692,"Sendagi",0.30118889121765,35.7255677,139.7632458
"Sakura La An","Osaka",2900,1.2,9.6,"Superb",9.3,9.8,9.5,9.2,9.6,9.8,9.7,135.5123668,34.6997902,"Minami-morimachi",0.284536101712158,34.6975494,135.5108639
"Santiago Guesthouse Hiroshima","Hiroshima",2000,0.7,8.9,"Fabulous",8.5,8.9,8.7,9.6,9,8.6,8.8,132.4594088,34.3903664,"Hondori",0.402778575879041,34.3933943,132.4569995
"Santiago Guesthouse Kyoto","Kyoto",1300,2,8.8,"Fabulous",8.4,9.3,8.7,8.5,8.7,9.2,8.8,135.775802,34.994416,"Hyotan-yama",1.22126628497599,35.0037565,135.7687486
"Senba Hostel","Osaka",3500,3.2,9.1,"Superb",9,9.5,9,9,9.5,9,8.5,135.506513,34.678133,"Nagahoribashi",0.408735327107836,34.6744602,135.5063311
"Sheena and Ippei","Tokyo",3700,4.2,9.1,"Superb",10,10,8,8,8,10,10,139.6930044,35.7273553,"Kanamecho",0.790835851614557,35.7332567,139.6978942
"Shibamata FU-TEN Bed and Local","Tokyo",3000,18.5,4.9,"Rating",2,4,2,2,10,10,4,139.8778804,35.7597827,"Kita-ayase",4.55752578395584,35.77705225,139.8320687
"Shin-Osaka Tomato Guest House","Osaka",1500,1.9,9,"Superb",7.4,9.6,9.1,8.4,9.3,9.6,9.4,135.495927,34.722974,"Minamikata",0.452017599168807,34.7257421,135.4995491
"Shin-Osaka Youth Hostel","Osaka",3200,2.8,8.9,"Fabulous",7,10,9,9,10,8,9,135.5037061,34.7321448,"Shin-Osaka",0.355459623198522,34.73355797,135.500217
"Small World Guesthouse in Kyoto","Kyoto",1600,3.9,8.1,"Fabulous",8.5,8.9,8,7.8,6.9,7.1,9.1,135.7512884,35.0435832,"Shin-Omiya",0.26920501787868,35.044386,135.7484986
"Space Hostel Tokyo","Tokyo",2200,9.1,9.1,"Superb",8.6,9.6,9,8.7,9.2,9.4,9.2,139.785652,35.718662,"Iriya",0.323113181352463,35.7215633,139.7854523
"Sparkling Dolphins Inn Kyoto","Kyoto",3000,3.6,6.2,"Good",5.3,6.7,5.7,7,5.7,7,6,135.7628498,34.9797912,"Kujo",0.287016370662,34.9795635,135.7597118
"Stayto (former: Oak Hotel)","Tokyo",2500,8.7,9,"Superb",8.3,9.1,8.5,9.2,9.4,9.5,8.8,139.78462,35.711382,"Inaricho",0.175787957572961,35.71141397,139.7826734
"Suzuki Guesthouse","Kyoto",1600,2.2,9.1,"Superb",8.6,9.6,8.7,8.4,9.8,9.6,8.9,135.7451539,35.0176229,"Marutamachi",1.33086284355955,35.016855,135.759738
"Tabetoma Nijo Castle","Kyoto",1500,1.3,8.8,"Fabulous",8.5,9.3,8.6,8.9,9,9,8.7,135.748218,35.0142299,"Marutamachi",1.08895737130938,35.016855,135.759738
"Tabicolle Backpackers","Fukuoka-City",2500,2.3,10,"Superb",10,10,10,10,10,10,10,130.4248084,33.5821253,"Hakata",0.926003730998598,33.5897275,130.4207274
"Tadaima Japan Shinjuku Ryokan","Tokyo",7600,2.8,8.4,"Fabulous",8,9,9,8,8,9,8,139.7229976,35.6897213,"Yotsuya-sanchome",0.336622619128103,35.6877469,139.7201721
"Talbot","Kyoto",2000,29.5,10,"Superb",10,10,10,10,10,10,10,135.7469718,35.00862662,"Karasuma Oike",1.16091493691923,35.009992,135.7596091
"Tanaka Gokurakudo Guest House","Kyoto",2000,2.7,8.7,"Fabulous",8.2,9.1,8,9.3,8.7,8.9,8.4,135.7583091,34.98891,"Kyoto",0.309920429260548,34.9861885,135.7590433
"Tani9 Backpackers Osaka","Osaka",2000,4.5,9,"Superb",8.8,8.9,8.6,9.5,9.2,9.5,8.7,135.513636,34.6670278,"Tanimachi Kyuchome",0.215710647388659,34.666639,135.5159468
"The Blend Inn","Osaka",2300,4.5,9.6,"Superb",9.8,9.9,9.5,8.5,10,9.9,9.6,135.460685,34.684522,"Tamagawa",1.52828285641568,34.6894491,135.4762889
"The Evergreen Hostel","Hiroshima",2000,1.5,9,"Superb",8.6,9.1,8.7,9.2,8.9,9.3,9,132.449763,34.3978868,"Kencho-mae",0.78031675173615,34.3963499,132.4580612
"THE LIFE hostel & bar lounge","Fukuoka-City",2400,0.9,9.1,"Superb",8.9,9.4,9.2,9.3,8.8,9.2,8.9,130.4113419,33.5912939,"Gion",0.428525559255783,33.5940958,130.4145184
"The Lower East Nine Hostel","Kyoto",3000,3.7,9.4,"Superb",8.8,9.8,9.6,8.9,9.7,9.6,9.2,135.7600257,34.9793866,"Kujo",0.0347105522057506,34.9795635,135.7597118
"The Millennials Kyoto","Kyoto",2700,0.5,9.6,"Superb",9.3,9.8,9.8,9.9,9.6,9.4,9.5,135.7688947,35.0075126,"Hyotan-yama",0.417871186589498,35.0037565,135.7687486
"The Millennials Shibuya","Tokyo",6300,3.1,9.3,"Superb",8.9,10,9.3,9.8,9.5,8.9,8.7,139.6996954,35.6621966,"Shibuya",0.474425138163516,35.65820823,139.7015607
"THE NEXT DOOR lower east nine hostel","Kyoto",3000,4,9.5,"Superb",8.6,9.7,9.9,9,9.6,9.8,9.7,135.7500613,34.9791577,"Toji",0.250379099855983,34.9799452,135.7526359
"The Pax Hostel/Records/More","Osaka",2300,6,9.5,"Superb",9.5,9.4,9.3,9.4,9.4,9.9,9.5,135.5054521,34.6527146,"Ebisucho",0.247551427836048,34.6549385,135.5055773
"The Prime Pod Ginza Tokyo","Tokyo",3700,7.2,9,"Superb",7.9,9.2,9.2,9.5,9.6,9,8.4,139.7670874,35.6692691,"Higashi-ginza",0.195039904328647,35.670715,139.7683097
"The Prime Pod Kyoto","Kyoto",2500,0.4,9.8,"Superb",9.4,10,10,9.6,9.9,9.9,9.6,135.7702541,35.0090836,"Hyotan-yama",0.608009754874628,35.0037565,135.7687486
"Toco Tokyo Heritage Hostel","Tokyo",3000,9.1,9.2,"Superb",10,10,7.3,8.7,8.7,10,10,139.7839281,35.7220369,"Iriya",0.147330246211291,35.7215633,139.7854523
"Tokyo Hostel ENISHI","Tokyo",3300,4.7,8.6,"Fabulous",7.5,9,9,8.5,9,9,8.5,139.6794363,35.6482038,"Naka-meguro",1.83282355875235,35.6443281,139.6991511
"Tokyo Hostel Fuji","Tokyo",2000,1.6,9.2,"Superb",8.8,9.3,9,9,9.4,9.8,9.2,139.674336,35.692835,"Nakano-shimbashi",0.102464763189479,35.692021,139.6738042
"Tokyo House Inn","Tokyo",3800,1.5,6.8,"Good",6,6.7,6.7,8,6,7.3,6.7,139.7038187,35.6990062,"Higashi-shinjuku",0.353070272001207,35.6989445,139.7077279
"Tokyo Hutte","Tokyo",3000,11.3,7.1,"Very Good",8,6,4,8,10,8,6,139.8150041,35.7088828,"Oshiage",0.253204848972363,35.7106447,139.8132275
"Tokyo Sumidagawa Youth Hostel","Tokyo",2500,8.9,7.7,"Very Good",6.5,6,8,8,9,9,7.5,139.7892234,35.6991309,"Tawaramachi",1.19922861446349,35.709842,139.7907747
"TOKYO-W-INN Asakusa","Tokyo",2500,9.3,8.9,"Fabulous",8.2,9.2,8.9,8.9,8.8,9.4,9.2,139.7923088,35.7083161,"Tawaramachi",0.21903081088155,35.709842,139.7907747
"Tomato Kyoto Station","Kyoto",1500,3.1,8.3,"Fabulous",8.3,8.3,8,7.3,8.3,9.3,8.7,135.751832,34.986881,"Kyoto",0.661450702603625,34.9861885,135.7590433
"Tonagi Hostel Ã— Cafe","Fukuoka-City",2500,2,8.9,"Fabulous",9,9,9.3,7.3,9.3,9,9.3,130.41452,33.604248,"Chiyo-Kenchoguchi",0.16084866265406,33.6028022,130.4145758
"Train Hostel HOKUTOSEI","Tokyo",2100,8.3,8.7,"Fabulous",7.4,9.3,9,8.7,8.8,9.2,8.8,139.7828434,35.694048,"Kodemmacho",0.494505499927707,35.6913621,139.7784791
"Turn Table Hostel","Tokyo",5400,3.8,9.6,"Superb",9.4,9.9,9.7,9.7,9.6,9.6,9.3,139.6929157,35.6553861,"Shibuya",0.84174414029347,35.65820823,139.7015607
"Umbrella House Osaka","Osaka",2300,8.5,6.8,"Good",6,8,6.6,5.4,7.4,7.4,6.9,135.546582,34.639764,"Minami-Tatsumi",0.719258139536864,34.6431864,135.5532536
"Uno Ueno","Tokyo",1500,8.2,8.8,"Fabulous",7.8,9.3,8.5,8.9,9.2,9.3,8.6,139.7791708,35.7087463,"Naka-okachimachi",0.367492415698227,35.7064914,139.7761952
"Unplan Kagurazaka","Tokyo",3200,4,9.5,"Superb",9.2,9.9,9.6,8.8,9.6,9.8,9.6,139.7313228,35.7050654,"Kagurazaka",0.314456898796999,35.70400224,139.7345499
"Very Hostel Namba","Osaka",2500,4.9,9,"Superb",8.8,9.2,9.2,8.8,8.4,9.2,9.2,135.4888061,34.6636522,"Sakuragawa",0.5331377483428,34.6684262,135.488266
"WeBase HAKATA","Fukuoka-City",3000,0.9,9.5,"Superb",9,9.8,9.7,9.4,9.7,9.7,9.3,130.408271,33.595674,"Nakasu-Kawabata",0.223110619740597,33.5945858,130.4062472
"WIRED HOTEL Asakusa","Tokyo",5200,9.7,9.5,"Superb",8.9,10,9.9,9.1,9.7,9.6,9.5,139.793905,35.7158533,"Asakusa",0.659129798354809,35.71085336,139.7978265
"Wise Owl Hostels Shibuya","Tokyo",2500,4,9.1,"Superb",8.9,9.6,9.1,8.4,9.6,9.5,8.8,139.6897743,35.6537001,"Shibuya",1.17698045357196,35.65820823,139.7015607
"Wise Owl Hostels Tokyo","Tokyo",2000,7.9,9.1,"Superb",8.4,9.5,9.1,9.1,9.4,9.3,9.1,139.7772748,35.6747807,"Hatchobori",0.112782058755162,35.674006,139.7764689
"With B","Tokyo",4000,8.6,9.1,"Superb",8.5,9.5,9,8,9,9.5,10,139.7326905,35.67468366,"Akasaka",0.447400197246693,35.6715627,139.7358165
"YADOYA Guesthouse Green","Tokyo",2300,2.6,8.2,"Fabulous",7.9,7.7,6.9,8.9,8.9,8.8,8.3,139.6681253,35.7029083,"Nakano",0.301499024986045,35.7048964,139.6658548
"YADOYA Guesthouse Orange","Tokyo",2000,2.9,8.9,"Fabulous",8.6,9,7.8,9.4,9,9.2,9.4,139.6676947,35.7065126,"Nakano",0.244736841366582,35.7048964,139.6658548
"YAWP! backpackers","Tokyo",2500,17.5,9.3,"Superb",9.5,9.3,9.4,8.5,9.5,9.2,9.6,139.8691966,35.7528846,"Ayase",4.2017504744315,35.7622536,139.8240857
"You En Me House","Kyoto",2800,2.4,8,"Fabulous",7.3,8,6.7,8,8.7,10,7.3,135.749063,34.997376,"Gojo",0.994275296672627,34.9954343,135.7597179
"Zabutton Hostel","Tokyo",2900,5.9,8.6,"Fabulous",8.1,8.5,7.8,9,8.9,9.5,8.5,139.742116,35.65547,"Azabu-juban",0.56032265114215,35.6567021,139.7361025
